OFFLINE Vaihingen (PPP)	Fri Dec 19 10:47:16 1997
ONLINE Vaihingen (PPP)	Fri Dec 19 10:49:54 1997
OFFLINE Vaihingen (PPP)	Fri Dec 19 13:11:56 1997
ONLINE T-Online	Sat Dec 20 17:47:36 1997
OFFLINE T-Online	Sat Dec 20 17:55:32 1997
ONLINE T-Online	Mon Dec 22 13:36:16 1997
OFFLINE T-Online	Mon Dec 22 13:37:04 1997
ONLINE T-Online	Mon Dec 22 13:38:06 1997
OFFLINE T-Online	Mon Dec 22 13:44:12 1997
ONLINE Vaihingen (PPP)	Mon Dec 22 13:52:36 1997
OFFLINE Vaihingen (PPP)	Mon Dec 22 14:08:18 1997
ONLINE Vaihingen (PPP)	Mon Dec 22 14:16:22 1997
OFFLINE Vaihingen (PPP)	Mon Dec 22 14:17:20 1997
ONLINE Vaihingen (PPP)	Wed Jan 14 23:42:58 1998
OFFLINE Vaihingen (PPP)	Wed Jan 14 23:49:28 1998
ONLINE Vaihingen (PPP)	Sun Jan 18 01:40:24 1998
OFFLINE Vaihingen (PPP)	Sun Jan 18 01:43:52 1998
ONLINE Vaihingen (PPP)	Mon Jan 19 23:06:16 1998
OFFLINE Vaihingen (PPP)	Mon Jan 19 23:08:04 1998
ONLINE Vaihingen (PPP)	Sat Jan 24 00:33:08 1998
OFFLINE Vaihingen (PPP)	Sat Jan 24 02:23:00 1998
ONLINE Vaihingen (PPP)	Thu Jan 29 04:07:12 1998
OFFLINE Vaihingen (PPP)	Thu Jan 29 04:18:06 1998
ONLINE Vaihingen (PPP)	Wed Feb 11 17:51:18 1998
OFFLINE Vaihingen (PPP)	Wed Feb 11 18:00:50 1998
ONLINE Vaihingen (PPP)	Mon Feb 16 10:59:18 1998
OFFLINE Vaihingen (PPP)	Mon Feb 16 10:59:58 1998
ONLINE Vaihingen (PPP)	Mon Feb 16 11:00:34 1998
OFFLINE Vaihingen (PPP)	Mon Feb 16 11:21:50 1998
ONLINE Vaihingen (PPP)	Sat Feb 21 02:12:02 1998
OFFLINE Vaihingen (PPP)	Sat Feb 21 02:38:04 1998
ONLINE Vaihingen (PPP)	Sat Feb 21 02:59:24 1998
OFFLINE Vaihingen (PPP)	Sat Feb 21 03:12:12 1998
ONLINE Vaihingen (PPP)	Tue Feb 24 20:06:32 1998
OFFLINE Vaihingen (PPP)	Tue Feb 24 20:13:28 1998
ONLINE Vaihingen via Mac-OS	Thu Feb 26 20:50:58 1998
OFFLINE Vaihingen via Mac-OS	Thu Feb 26 20:55:04 1998
ONLINE Vaihingen via Mac-OS	Thu Feb 26 22:08:56 1998
OFFLINE Vaihingen via Mac-OS	Thu Feb 26 22:10:52 1998
ONLINE Vaihingen via Mac-OS	Thu Feb 26 22:11:40 1998
OFFLINE Vaihingen via Mac-OS	Thu Feb 26 22:15:40 1998
ONLINE Vaihingen via Mac-OS	Thu Feb 26 23:19:10 1998
OFFLINE Vaihingen via Mac-OS	Thu Feb 26 23:23:04 1998
ONLINE Vaihingen via Mac-OS	Thu Feb 26 23:42:34 1998
OFFLINE Vaihingen via Mac-OS	Thu Feb 26 23:59:20 1998
ONLINE Vaihingen via Mac-OS	Fri Feb 27 00:03:12 1998
OFFLINE Vaihingen via Mac-OS	Fri Feb 27 00:05:56 1998
ONLINE Vaihingen via Mac-OS	Fri Feb 27 00:10:34 1998
OFFLINE Vaihingen via Mac-OS	Fri Feb 27 00:12:56 1998
ONLINE Vaihingen via Mac-OS	Fri Feb 27 00:25:48 1998
OFFLINE Vaihingen via Mac-OS	Fri Feb 27 01:27:42 1998
ONLINE Vaihingen via Mac-OS	Fri Feb 27 01:32:16 1998
OFFLINE Vaihingen via Mac-OS	Fri Feb 27 01:35:58 1998
ONLINE Vaihingen via Mac-OS	Fri Feb 27 01:38:52 1998
OFFLINE Vaihingen via Mac-OS	Fri Feb 27 01:39:22 1998
ONLINE Vaihingen via Mac-OS	Fri Feb 27 01:39:44 1998
OFFLINE Vaihingen via Mac-OS	Fri Feb 27 01:41:22 1998
ONLINE Vaihingen via Mac-OS	Fri Feb 27 01:43:34 1998
OFFLINE Vaihingen via Mac-OS	Fri Feb 27 01:51:36 1998
ONLINE Vaihingen via Mac-OS	Fri Feb 27 01:51:54 1998
ONLINE Vaihingen via Mac-OS	Fri Feb 27 01:55:10 1998
OFFLINE Vaihingen via Mac-OS	Fri Feb 27 01:58:02 1998
ONLINE Vaihingen via Mac-OS	Fri Feb 27 02:04:06 1998
OFFLINE Vaihingen via Mac-OS	Fri Feb 27 02:10:28 1998
ONLINE Vaihingen via Mac-OS	Fri Feb 27 02:10:46 1998
